dataset,train_steps,n_simulations,score_mean,score_type,repetition,future steps
inverted,500,1,8.205306290732725e-05,mae,3,2
inverted,500,1,3.6286653181533124e-05,mae,4,2
inverted,500,1,0.0002596517841732815,mae,5,2
inverted,500,1,0.0004126980167780715,mae,6,2
inverted,500,1,0.0005055534391573829,mae,7,2
inverted,500,1,0.00019785376257843573,mae,8,2
inverted,500,1,2.539686742931979e-05,mae,9,2
inverted,1000,1,5.062101709036454e-05,mae,0,2
inverted,1000,1,4.9999590255381254e-05,mae,1,2
inverted,1000,1,5.830674647130593e-05,mae,2,2
inverted,1000,1,0.00014973133184034704,mae,3,2
inverted,1000,1,7.447727391488024e-06,mae,4,2
inverted,1000,1,0.00014282478994707276,mae,5,2
inverted,1000,1,2.827411816845246e-05,mae,6,2
inverted,1000,1,7.735830071264882e-05,mae,7,2
inverted,1000,1,0.00014134206769467889,mae,8,2
inverted,1000,1,1.2257355422502086e-05,mae,9,2
inverted,100,1,0.00019828764253179422,mae,0,10
inverted,100,1,0.00030151567136606564,mae,1,10
inverted,100,1,0.0001619745406585979,mae,2,10
inverted,100,1,0.0002325875558125183,mae,3,10
inverted,100,1,0.00037254587385610397,mae,4,10
inverted,100,1,0.0003839475171773986,mae,5,10
inverted,100,1,0.00042822833879216094,mae,6,10
inverted,100,1,0.00043820737920985744,mae,7,10
inverted,100,1,5.4112183787220766e-05,mae,8,10
inverted,100,1,7.291459977973244e-05,mae,9,10
inverted,500,1,5.2546808368070244e-05,mae,0,10
inverted,500,1,9.155805982643262e-05,mae,1,10
inverted,500,1,5.434712443364853e-05,mae,2,10
inverted,500,1,0.00019267350018051452,mae,3,10
inverted,500,1,7.65157915493274e-05,mae,4,10
inverted,500,1,6.714186433714534e-05,mae,5,10
inverted,500,1,0.00027633634494869175,mae,6,10
inverted,500,1,0.0001371706281770052,mae,7,10
inverted,500,1,0.00014710635566119734,mae,8,10
inverted,500,1,1.9924728120430947e-05,mae,9,10
inverted,1000,1,7.503359095968331e-05,mae,0,10
inverted,1000,1,3.611351501216914e-05,mae,1,10
inverted,1000,1,3.9760132348035104e-05,mae,2,10
inverted,1000,1,7.433967972652263e-05,mae,3,10
inverted,1000,1,2.9671645135496278e-05,mae,4,10
inverted,1000,1,3.705785643158474e-05,mae,5,10
inverted,1000,1,0.0001180327776412915,mae,6,10
inverted,1000,1,7.441365368646702e-05,mae,7,10
inverted,1000,1,4.753603160493336e-05,mae,8,10
inverted,1000,1,7.525560076100668e-06,mae,9,10
