dataset,train_steps,n_simulations,score_mean,score_type
german,400,8,"[2.67395151e-05 4.99997491e-06 1.62980090e-05 6.80929863e-07
 1.50602462e-06 6.66155010e-08 1.11343738e-07]",r2
german,400,9,"[6.43859963e-05 1.23647780e-05 8.52207166e-06 2.18085093e-07
 2.88306756e-06 1.79006561e-07 2.55796067e-07]",r2
german,400,10,"[4.50579149e-05 1.17069243e-05 1.58794345e-05 3.73595803e-07
 2.20609508e-06 1.07880234e-07 1.54191295e-07]",r2
german,400,11,"[2.41359031e-05 6.83359648e-06 2.88708306e-06 7.04197578e-08
 1.35238149e-06 4.37509298e-08 7.73793339e-08]",r2
german,400,12,"[2.75820367e-05 2.37807919e-06 4.53245103e-06 1.03500091e-06
 1.26517790e-06 5.07536405e-08 7.12716845e-08]",r2
german,400,13,"[5.36535734e-05 4.24151571e-06 1.24877928e-06 1.69240441e-06
 1.80165952e-06 4.72255573e-08 7.38925305e-08]",r2
german,400,14,"[2.56427052e-05 1.94148860e-06 2.56091827e-06 1.34438285e-06
 7.95513747e-07 1.09241879e-08 1.88701778e-08]",r2
german,400,15,"[1.83401576e-05 8.60170890e-07 3.25155389e-06 2.98217881e-08
 5.54140472e-07 9.74805104e-09 1.95033431e-08]",r2
german,400,16,"[8.45129140e-06 1.85148840e-07 1.51356347e-05 1.29967109e-06
 2.08617970e-07 3.12854378e-09 9.11981142e-09]",r2
german,400,17,"[8.13163357e-06 1.94548279e-07 4.62102809e-06 8.90159785e-08
 2.13833441e-07 8.27435752e-10 3.18075516e-09]",r2
german,400,18,"[2.29575964e-06 1.06013507e-06 3.68200779e-07 6.39562811e-07
 1.96180591e-08 2.77450207e-09 8.38791202e-09]",r2
german,400,19,"[6.12723768e-07 1.08926908e-06 8.55033318e-07 1.42349465e-06
 1.58316095e-08 3.42594815e-09 1.11910785e-08]",r2
german,400,20,"[1.63515758e-06 2.36597301e-06 1.60811536e-06 3.54280874e-07
 2.07707184e-08 8.74081413e-09 2.22994717e-08]",r2
german,500,1,"[1.12847154e-03 1.99102118e-04 1.20690571e-04 5.16135187e-06
 1.18166734e-05 1.82152958e-07 6.46804985e-07]",r2
german,500,2,"[2.12830612e-04 2.41896811e-05 1.33325367e-04 4.97338577e-06
 7.77580397e-07 1.03217666e-07 5.35544340e-08]",r2
german,500,3,"[1.78737662e-04 1.58048018e-06 2.27175794e-04 2.65651425e-05
 2.02074260e-07 5.41096838e-08 8.02044996e-08]",r2
german,500,4,"[5.22174855e-06 5.68807909e-06 2.20910012e-05 5.98849642e-07
 8.56396071e-07 1.15076942e-07 1.26076179e-07]",r2
german,500,5,"[4.82071211e-06 1.04109955e-05 1.21120121e-05 1.24511007e-06
 1.30130394e-06 8.25435714e-08 9.16799316e-08]",r2
german,500,6,"[1.82463720e-05 2.98075780e-07 5.69348030e-06 2.62198542e-06
 1.37306775e-07 2.49814092e-09 2.77161064e-10]",r2
german,500,7,"[2.85064389e-05 1.17973695e-05 5.97915852e-06 3.56219692e-07
 1.74322980e-06 1.05277130e-07 1.52182077e-07]",r2
german,500,8,"[3.75095234e-05 2.31612300e-05 1.20555419e-06 5.03140767e-07
 2.92564087e-06 1.60548417e-07 2.20268437e-07]",r2
german,500,9,"[1.60524898e-05 1.64277675e-05 1.02383149e-05 1.80706525e-06
 1.97248464e-06 9.65491636e-08 1.34840092e-07]",r2
german,500,10,"[1.73035273e-05 7.45553304e-06 7.42564847e-06 1.51266834e-06
 1.79481184e-06 7.99817793e-08 1.18098606e-07]",r2
german,500,11,"[2.16952623e-05 6.30904744e-06 1.05761069e-05 1.88967077e-06
 1.24882259e-06 3.55749057e-08 5.44057262e-08]",r2
german,500,12,"[6.56484176e-06 2.53877658e-06 1.53124993e-07 9.71198175e-08
 6.29948424e-07 1.85304804e-08 2.98009261e-08]",r2
german,500,13,"[6.98471322e-08 2.32610083e-07 6.17818312e-06 9.07699461e-07
 1.40741877e-07 3.01909146e-09 7.13104577e-09]",r2
german,500,14,"[1.09477382e-06 2.08695651e-07 1.65187308e-07 3.26126079e-09
 8.41022984e-08 1.01514743e-10 3.31447590e-10]",r2
german,500,15,"[1.18260753e-06 4.78309819e-07 3.31076337e-06 1.00527847e-06
 4.37156261e-09 5.00293956e-09 1.11608831e-08]",r2
german,500,16,"[7.89171543e-06 1.37661880e-06 1.72142336e-06 3.26631468e-07
 3.87431014e-08 6.31370960e-09 1.61578753e-08]",r2
german,500,17,"[2.61036867e-06 3.52203325e-07 2.52144311e-07 5.60587401e-09
 4.03442389e-08 1.61341885e-10 5.84450607e-10]",r2
german,500,18,"[1.13922449e-06 3.19203412e-07 2.61679247e-07 6.49781588e-08
 2.15742009e-08 1.63846054e-10 4.41293268e-10]",r2
german,500,19,"[1.66766084e-06 4.00685631e-07 3.73221216e-07 1.05253009e-07
 2.39331843e-08 1.66799149e-10 8.41030635e-11]",r2
german,500,20,"[6.91942083e-08 3.23238002e-07 2.77830746e-07 3.48863976e-08
 3.19956105e-09 7.94236705e-10 9.68775818e-10]",r2
german,600,1,"[1.42850826e-03 2.51485055e-04 1.82853877e-04 1.79710935e-05
 1.42201503e-05 3.34056489e-07 7.43085775e-07]",r2
german,600,2,"[1.52759733e-04 3.79404331e-06 1.74056022e-04 8.20833889e-06
 5.59612822e-07 8.82448036e-08 1.02143396e-07]",r2
german,600,3,"[3.14093060e-05 1.39590530e-06 1.56342894e-04 7.32729386e-06
 7.17132712e-07 1.67852451e-07 1.67721539e-07]",r2
german,600,4,"[1.29869875e-05 5.23479318e-06 1.75286281e-05 6.93281016e-07
 8.62167598e-07 5.67333102e-08 8.44375632e-08]",r2
german,600,5,"[4.07543001e-07 3.41131285e-07 2.43510149e-06 7.93631696e-07
 5.15090904e-07 1.84615812e-08 1.96089502e-08]",r2
german,600,6,"[4.68853783e-05 1.24853891e-05 7.64186160e-07 1.71321158e-07
 2.76364682e-06 1.88552330e-07 2.92392493e-07]",r2
german,600,7,"[4.50292271e-05 1.05653470e-05 2.06724053e-06 7.93616146e-08
 2.18635142e-06 1.11229349e-07 1.90140908e-07]",r2
german,600,8,"[2.83007477e-05 2.83465240e-06 1.06503137e-05 1.44987663e-06
 1.51031426e-06 7.88528622e-08 1.07980148e-07]",r2
german,600,9,"[3.59384251e-05 3.89481132e-06 1.84019095e-07 3.86409391e-08
 1.54936686e-06 4.90727077e-08 9.12105915e-08]",r2
