dataset,train_steps,n_simulations,forecast_prediction_steps,model,score,score_type,repetition
german,1000,1,10,Oracle,0.014202339,mae,7
german,1000,1,1,TSMixer,0.012646256,mae,8
german,1000,1,10,TSMixer,0.12823938,mae,8
german,1000,1,1,VAR,0.0037276607,mae,8
german,1000,1,10,VAR,0.014625677,mae,8
german,1000,1,1,LSTM,0.06934184,mae,8
german,1000,1,10,LSTM,0.17646796,mae,8
german,1000,1,1,TiDE,0.0110225445,mae,8
german,1000,1,10,TiDE,0.095152505,mae,8
german,1000,1,1,Oracle,0.0036499158,mae,8
german,1000,1,10,Oracle,0.014202339,mae,8
german,1000,1,1,TSMixer,0.012524243,mae,9
german,1000,1,10,TSMixer,0.1266609,mae,9
german,1000,1,1,VAR,0.0037092327,mae,9
german,1000,1,10,VAR,0.014444361,mae,9
german,1000,1,1,LSTM,0.020352552,mae,9
german,1000,1,10,LSTM,0.06541557,mae,9
german,1000,1,1,TiDE,0.011229618,mae,9
german,1000,1,10,TiDE,0.093752764,mae,9
german,1000,1,1,Oracle,0.0036499158,mae,9
german,1000,1,10,Oracle,0.014202339,mae,9
inverted,100,1,1,TSMixer,0.21647587,mae,0
inverted,100,1,10,TSMixer,1.4293618,mae,0
inverted,100,1,1,VAR,0.041860223,mae,0
inverted,100,1,10,VAR,0.40728402,mae,0
inverted,100,1,1,LSTM,0.05268776,mae,0
inverted,100,1,10,LSTM,0.46839753,mae,0
inverted,100,1,1,TiDE,0.21748397,mae,0
inverted,100,1,10,TiDE,1.4328842,mae,0
inverted,100,1,1,Oracle,0.04193037,mae,0
inverted,100,1,10,Oracle,0.39900282,mae,0
inverted,100,1,1,TSMixer,0.21656366,mae,1
inverted,100,1,10,TSMixer,1.4300331,mae,1
inverted,100,1,1,VAR,0.042225823,mae,1
inverted,100,1,10,VAR,0.4444326,mae,1
inverted,100,1,1,LSTM,0.051605787,mae,1
inverted,100,1,10,LSTM,0.5996997,mae,1
inverted,100,1,1,TiDE,0.21798183,mae,1
inverted,100,1,10,TiDE,1.4346614,mae,1
inverted,100,1,1,Oracle,0.04193037,mae,1
inverted,100,1,10,Oracle,0.39900282,mae,1
inverted,100,1,1,TSMixer,0.21638134,mae,2
inverted,100,1,10,TSMixer,1.4285097,mae,2
inverted,100,1,1,VAR,0.04212085,mae,2
inverted,100,1,10,VAR,0.42818195,mae,2
inverted,100,1,1,LSTM,0.05414776,mae,2
